n,error
0,nan
100000,0.00288735
200000,0.00183265
300000,3.40131e-05
400000,0.000552654
500000,0.000584654
600000,0.00232599
700000,0.00202694
800000,0.00189265
900000,0.000334876
1000000,0.000360654
1100000,0.000134619
1200000,0.00011068
1300000,0.000388885
1400000,0.000315511
1500000,0.000392654
1600000,0.000490154
1700000,0.00065383
1800000,0.000485987
1900000,0.000540022
2000000,0.000180654
2100000,0.000173606
2200000,9.82555e-05
2300000,0.000412564
2400000,0.000217346
2500000,0.000303346
2600000,0.000261193
2700000,0.00017932
2800000,0.000452654
2900000,0.000516792
3000000,0.00061132
3100000,0.000561686
3200000,0.000595154
3300000,0.000498108
3400000,0.000651477
3500000,0.000666939
3600000,0.000767098
3700000,0.000548329
3800000,0.000634759
3900000,0.000570089
4000000,0.000530654
4100000,0.000631678
4200000,0.000481225
4300000,0.000243816
4400000,0.000432654
4500000,0.000314431
4600000,0.000653523
4700000,0.000722015
4800000,0.00064682
4900000,0.000636735
5000000,0.000736654
5100000,0.000680497
5200000,0.000577269
5300000,0.000733031
5400000,0.000771913
5500000,0.000693744
5600000,0.000693368
5700000,0.00074704
5800000,0.000604378
5900000,0.000614349
6000000,0.000579987
6100000,0.00050544
6200000,0.000491363
6300000,0.000479638
6400000,0.000436404
6500000,0.000475731
6600000,0.00049326
6700000,0.00055146
6800000,0.000626183
6900000,0.000667436
7000000,0.000700082
7100000,0.000721104
7200000,0.000725987
7300000,0.00064964
7400000,0.000489951
7500000,0.00038092
7600000,0.000381075
7700000,0.000322524
7800000,0.000401372
7900000,0.000416451
8000000,0.000454654
8100000,0.000364999
8200000,0.000277532
8300000,0.000295304
8400000,0.000321225
8500000,0.000239242
8600000,0.000288002
8700000,0.000229895
8800000,0.000152199
8900000,8.25412e-05
9000000,0.000113987
9100000,8.80382e-05
9200000,9.13492e-05
9300000,4.85676e-05
9400000,9.1377e-05
9500000,6.97062e-05
9600000,0.00016432
9700000,0.000143581
9800000,0.000158776
9900000,7.50778e-05
